aX,aY,aZ,gX,gY,gZ
0.415,1.474,-0.486,28.931,-75.195,-133.484
0.314,1.520,-0.228,10.193,-47.424,-102.966
0.172,1.531,-0.060,-17.456,-23.926,-70.679
0.041,1.471,0.000,-42.969,-6.104,-45.593
-0.076,1.363,-0.001,-54.993,5.188,-29.419
-0.188,1.221,0.004,-50.964,9.705,-19.958
-0.292,1.020,0.081,-35.522,9.277,-17.212
-0.351,0.822,0.176,-14.648,8.423,-19.531
-0.384,0.592,0.296,6.775,4.944,-25.635
-0.388,0.371,0.413,25.513,-0.061,-32.288
-0.333,0.164,0.495,39.978,-7.080,-36.804
-0.270,0.018,0.574,50.964,-15.015,-39.551
-0.175,-0.065,0.681,59.753,-20.386,-42.236
-0.070,-0.129,0.796,66.956,-23.560,-42.969
0.018,-0.090,0.904,68.054,-24.536,-41.260
0.104,-0.040,0.958,63.354,-23.376,-37.903
0.106,0.008,1.002,53.955,-22.766,-30.762
0.083,0.034,0.999,38.452,-21.057,-20.691
0.055,0.019,0.945,19.653,-15.869,-10.498

0.113,-0.275,0.651,15.564,-14.709,25.452
0.156,-0.347,0.665,25.696,-17.273,23.132
0.211,-0.419,0.668,34.302,-21.606,20.447
0.260,-0.453,0.654,40.527,-27.893,18.311
0.316,-0.463,0.608,44.189,-35.034,17.395
0.347,-0.465,0.553,45.227,-42.358,17.151
0.380,-0.441,0.494,43.274,-50.293,17.273
0.413,-0.371,0.404,41.626,-57.617,20.325
0.455,-0.376,0.307,43.945,-66.711,26.367
0.485,-0.422,0.207,47.913,-76.233,34.058
0.496,-0.474,0.131,48.523,-81.787,42.542
0.478,-0.577,0.067,45.776,-82.397,50.537
0.453,-0.740,0.013,41.260,-79.102,56.946
0.375,-0.876,-0.036,35.217,-72.571,61.279
0.266,-0.984,-0.086,30.334,-65.002,62.805
0.146,-1.082,-0.142,29.846,-59.021,59.326
0.034,-1.161,-0.195,33.325,-53.162,52.246
-0.058,-1.185,-0.223,40.771,-47.791,42.419
-0.096,-1.177,-0.216,50.964,-41.504,31.433
-0.090,-1.200,-0.177,59.631,-32.593,22.034
-0.088,-1.215,-0.128,60.791,-21.790,16.663
-0.081,-1.189,-0.091,53.589,-9.583,13.245
-0.089,-1.103,-0.136,40.833,2.075,11.047
-0.092,-1.023,-0.151,29.724,11.658,9.155
-0.159,-0.917,-0.189,21.118,19.653,5.981
-0.226,-0.815,-0.270,15.259,25.757,0.610
-0.262,-0.721,-0.353,11.536,31.555,-7.629
-0.294,-0.576,-0.411,9.216,39.917,-18.005
-0.287,-0.420,-0.438,8.301,51.086,-28.076
-0.276,-0.325,-0.396,8.484,66.345,-36.072
-0.275,-0.231,-0.246,7.080,86.426,-41.016
-0.237,-0.068,-0.003,4.150,111.389,-44.250
-0.151,0.018,0.359,2.502,138.306,-43.884
-0.043,-0.010,0.726,-0.549,164.246,-38.574
0.130,-0.005,1.077,-9.338,189.331,-31.799
0.293,0.050,1.446,-20.081,211.426,-26.184
0.524,0.073,1.813,-28.442,226.318,-23.376
