aX,aY,aZ,gX,gY,gZ
0.091,0.140,0.638,-29.297,-40.344,-46.143
0.116,0.220,0.625,-33.569,-33.203,-49.866
0.140,0.284,0.643,-38.696,-25.452,-52.551
0.183,0.347,0.651,-44.434,-18.250,-54.810
0.210,0.431,0.649,-50.232,-12.695,-56.580
0.225,0.556,0.634,-54.688,-10.864,-60.852
0.248,0.722,0.573,-54.626,-12.451,-68.542
0.284,0.859,0.454,-46.997,-18.494,-75.562
0.358,0.955,0.301,-32.288,-27.710,-77.698
0.493,1.049,0.135,-16.357,-37.231,-74.402
0.645,1.090,0.022,-3.296,-42.542,-67.505
0.708,1.053,-0.056,0.610,-40.833,-56.824
0.727,1.011,-0.176,-8.667,-32.715,-44.678
0.764,0.908,-0.289,-22.705,-24.353,-38.269
0.771,0.877,-0.427,-31.311,-18.982,-37.170
0.776,0.822,-0.558,-30.212,-19.470,-46.082
0.760,0.778,-0.702,-16.541,-24.780,-59.082
0.746,0.838,-0.803,2.502,-35.156,-75.562
0.708,0.938,-0.911,20.142,-45.227,-95.093
0.677,1.012,-1.004,34.363,-52.490,-113.525
0.681,1.051,-1.072,47.729,-55.237,-125.122
0.701,1.129,-1.092,59.021,-55.115,-127.014
0.728,1.261,-1.065,66.528,-53.467,-118.042
0.772,1.379,-0.994,76.965,-48.096,-99.670
0.836,1.522,-0.884,92.773,-40.161,-74.707
0.848,1.561,-0.733,115.417,-34.119,-42.664
0.792,1.464,-0.526,139.587,-33.142,-3.723
0.725,1.386,-0.297,148.376,-33.142,35.278
0.665,1.363,-0.157,138.733,-24.231,71.472
0.672,1.307,-0.089,126.221,-9.827,106.689
0.694,1.258,-0.069,129.028,7.568,149.597
0.706,0.993,-0.031,155.945,28.564,208.496
0.731,0.405,0.161,191.833,49.377,283.752
0.911,-0.422,0.592,218.262,83.069,370.667
1.003,-1.301,1.235,221.008,132.446,452.637
0.994,-2.246,2.031,200.439,191.956,514.343
1.030,-3.042,2.822,167.664,243.286,536.682
1.126,-3.544,3.506,138.062,262.817,505.981
1.185,-3.904,4.000,119.385,240.051,427.307
1.426,-3.999,4.000,122.131,186.707,338.135
1.590,-4.000,4.000,143.738,110.413,262.878
1.750,-4.000,4.000,159.241,41.565,204.468
1.910,-3.937,3.977,149.597,-5.737,166.504
1.991,-3.919,3.737,125.793,-32.654,145.996
1.945,-3.849,3.598,100.403,-46.631,136.780
1.836,-3.715,3.503,76.416,-56.152,127.380
1.702,-3.510,3.354,55.969,-70.374,111.572
1.551,-3.213,3.098,42.542,-92.957,89.417
1.396,-2.883,2.777,34.424,-121.094,64.697
1.252,-2.542,2.410,28.137,-147.461,42.542
1.061,-2.209,2.060,20.142,-168.152,25.696
0.857,-1.991,1.791,11.169,-192.200,7.568
0.696,-1.766,1.766,-5.859,-230.164,-17.761
0.623,-1.452,1.511,-22.888,-238.098,-33.020
0.516,-1.209,1.251,-35.461,-243.225,-53.650
0.514,-1.085,1.006,-41.199,-251.404,-75.500
0.529,-1.002,0.811,-46.875,-264.099,-87.769
